"log.Rented.Bike.Count","Hour","Temperature","Humidity","Wind.speed","Visibility","Solar.Radiation","Rainfall","Snowfall","Seasons","Holiday"
6.46302945692067,6,16.2,0,0.5,1588,0.05,0,0,"Spring","No Holiday"
6.57368016696065,15,6.9,31,2.9,1982,1.21,0,0,"Autumn","No Holiday"
4.14313472639153,3,-1.3,80,0.7,392,0,0,0,"Winter","No Holiday"
7.63482067774554,17,22.4,39,3.2,1943,1.9,0,0,"Spring","No Holiday"
6.54391184556479,22,7.8,49,0.1,528,0,0,0,"Spring","No Holiday"
6.0730445341004,2,12.8,59,0.9,1804,0,0,0,"Autumn","No Holiday"
5.97635090929793,10,5.9,69,2.6,330,1.43,0,0,"Spring","No Holiday"
5.11198778835654,0,-1.3,90,2,259,0,0,2.2,"Winter","No Holiday"
5.85793315448346,19,-8.2,43,1.1,2000,0,0,0,"Winter","No Holiday"
6.17586727010576,17,3.5,37,1.8,1963,0.1,0,0,"Winter","No Holiday"
4.91265488573605,3,20.6,98,0.8,1986,0,0.5,0,"Summer","No Holiday"
7.15070145759253,0,23,84,1.9,375,0,0,0,"Summer","No Holiday"
7.55747290161475,17,27.9,75,2.5,1643,0.75,0,0,"Summer","No Holiday"
6.15060276844628,2,25.4,84,0.6,1340,0,0,0,"Summer","No Holiday"
7.62217459481762,19,25.8,62,3.3,2000,0.27,0,0,"Summer","No Holiday"
5.78382518232974,3,11.6,76,1,364,0,0,0,"Spring","No Holiday"
7.27586460054653,21,9.9,50,1.2,2000,0,0,0,"Autumn","No Holiday"
5.64544689764324,12,0,35,2.3,1672,1.07,0,0,"Winter","No Holiday"
5.81413053182507,16,-2.4,28,0.9,1878,0.35,0,0,"Winter","No Holiday"
4.77068462446567,0,22,97,1.6,152,0,0.5,0,"Spring","No Holiday"
6.73933662735717,16,36.4,40,1.1,2000,1.79,0,0,"Summer","No Holiday"
6.25382881157547,1,7.8,59,0.6,768,0,0,0,"Autumn","No Holiday"
7.07665381544395,12,23.1,64,2.6,1250,1.35,0,0,"Spring","No Holiday"
6.74641212857337,23,9.7,56,1.3,1423,0,0,0,"Autumn","No Holiday"
7.21303165983487,23,22.9,78,1.4,2000,0,0,0,"Summer","No Holiday"
4.57471097850338,5,6.8,56,0.9,570,0,0,0,"Spring","No Holiday"
7.77064523412918,8,21.4,65,1.9,821,1.15,0,0,"Summer","No Holiday"
6.84587987526405,23,9.8,66,0.5,1979,0,0,0,"Autumn","No Holiday"
5.97126183979046,3,11.6,53,1.1,1904,0,0,0,"Spring","No Holiday"
5.4249500174814,23,-2.6,40,0.6,2000,0,0,0,"Winter","Holiday"
6.90675477864855,7,8.8,33,1.2,2000,0.11,0,0,"Spring","No Holiday"
6.95272864462487,13,28.9,68,2.8,1934,1.55,0,0,"Summer","No Holiday"
6.72262979485545,10,28.5,65,1.5,1519,1.74,0,0,"Summer","No Holiday"
5.91889385427315,3,24.8,80,1,1988,0,0,0,"Summer","No Holiday"
2.484906649788,20,13.3,80,1.8,821,0,1.5,0,"Spring","No Holiday"
7.60688453121963,18,20.5,66,1.2,2000,0.16,0,0,"Autumn","No Holiday"
7.73455884435476,19,29.8,45,2.5,2000,0.36,0,0,"Summer","No Holiday"
6.16331480403464,0,7.8,78,1.8,1741,0,0,0,"Spring","No Holiday"
5.62401750618734,6,15.5,0,0.5,1691,0.06,0,0,"Spring","Holiday"
5.79909265446053,16,2.9,26,3,1968,0.69,0,0,"Winter","No Holiday"
5.10594547390058,5,16.3,66,0.5,2000,0,0,0,"Autumn","No Holiday"
6.64768837356333,16,37.8,31,2.5,1929,2.46,0,0,"Summer","No Holiday"
7.5740450053722,20,33.9,46,1.4,2000,0.03,0,0,"Summer","No Holiday"
3.40119738166216,4,-14.3,45,2,2000,0,0,0,"Winter","No Holiday"
5.91889385427315,0,6.4,84,1.4,171,0,0,0,"Spring","No Holiday"
5.8805329864007,20,1.8,19,3.1,2000,0,0,0,"Winter","No Holiday"
7.13727843726039,15,28.4,43,3.1,900,2.28,0,0,"Spring","No Holiday"
7.11395610956603,23,18.6,59,0.7,2000,0,0,0,"Autumn","No Holiday"
4.02535169073515,2,-3.8,30,3.9,2000,0,0,0,"Winter","Holiday"
